source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,At the Old Post Office- http://t.co/8Rs1fbcAIz,09-25-2015 18:36:19,1401,3148,false,647479763280527360
Twitter for iPhone,Dishonest @politico just called to say that none of the polls including Fox NBC CNN Zogby &amp; Morning Consult matter. Serious haters.,09-25-2015 18:51:35,1525,2507,false,647483602058481664
Twitter for iPhone,.@MarcoRubio is weak on illegal immigration and will allow anyone into the country.....,09-25-2015 19:18:59,1747,2944,false,647490499423674368
Twitter for iPhone,.....Has worst attendance record in Senate- rarely there to vote on a bill! @marcorubio,09-25-2015 19:19:29,1615,2767,false,647490626406191104
Twitter for iPhone,I will be on @cbs @60minutes this Sunday. A great honor-- hope you enjoy it.,09-25-2015 22:40:35,1690,3479,false,647541233137647616
Twitter for iPhone,Thank you @FrankLuntz  https://t.co/gpJBNXKV3e,09-26-2015 00:47:36,1625,2865,false,647573199627141120
Twitter for iPhone,Just left Oklahoma--- the most amazing crowd and people! What a night!,09-26-2015 00:47:58,1937,5079,false,647573288970006528
Twitter for iPhone,Looking forward to press conference on taxes at 11AM at @TrumpTowerNY.,09-28-2015 14:03:30,1085,2217,false,648498271074304000
Twitter for iPhone,Wow the ratings for @60Minutes last night were their biggest in a year--- very nice!,09-28-2015 22:00:33,2439,5504,false,648618323144540160
Twitter for iPhone,Congratulations to my brother Robert &amp; Ann Marie on the success of @MontesKitchen in Dutchess County New York (Amenia.) Great food!,10-02-2015 22:15:55,819,2114,false,650071739356041216
Twitter for iPhone,Pictures of my beautiful mother amazing father and family hanging @MontesKitchen in upstate New York. http://t.co/lvx5SEhQVv,10-02-2015 22:32:16,1619,4758,false,650075854400303104
Twitter for iPhone,Just leaving Nashville Tennessee. Had a great time with a fabulous crowd of people! Love Nashville -- back soon! http://t.co/CS8DOd8wfm,10-03-2015 22:10:09,1665,3535,false,650432676097302532
Twitter for iPhone,I will be on @MeetThePress with @ChuckTodd tomorrow morning at 10:30am ET on @NBC. Enjoy!,10-03-2015 22:12:18,1137,1769,false,650433218383081474
Twitter for iPhone,Tune in to see me on @ThisWeekABC with @GStephanopoulos at 10am ET. Enjoy!,10-03-2015 22:12:51,1091,1699,false,650433358472847360
Twitter for iPhone,Just found out I won the Rockingham County Republican Booth Straw Poll at the Deerfield Fair in New Hampshire this past weekend. 39% ---Wow!,10-07-2015 19:29:59,1953,4373,false,651841923670536192
Twitter for iPhone,.@EWErickson is a total low life--- read his past tweets. A dummy with no “it” factor. Will fade fast.,10-08-2015 21:59:35,1108,1778,false,652241959860477953
Twitter for iPhone,.@EWErickson ran @RedState into the ground. A change was necessary. Congratulations to @RedState and good luck in the future!,10-08-2015 22:00:07,1009,1731,false,652242093881040896
Twitter for iPhone,I was so happy when I heard that @Politico one of the most dishonest political outlets is losing a fortune. Pure scum!,10-08-2015 23:49:43,2444,4474,false,652269674202288128
Twitter for iPhone,.@ChuckTodd just informed us that my interview last week on @MeetthePress was their highest rated show in 4 years. Congrats!,10-10-2015 18:46:34,1115,2507,false,652918158672678912
Twitter for iPhone,Thank you Georgia! I had a great afternoon with all of you! I will be back soon. #MakeAmerciaGreatAgain http://t.co/gkFoShg2xh,10-10-2015 18:51:54,1517,2911,false,652919499885268992
Twitter for iPhone,.@ThisWeekABC with @GStephanopoulos had fantastic numbers last Sunday --- Trump interview. Nice!,10-10-2015 19:10:40,574,1363,false,652924225217515520
Twitter for iPhone,My interview with @HowardKurtz on #MediaBuzz will air tomorrow on @Fox at 11am and 5pm. Great job Howie very insightful.,10-10-2015 19:11:14,731,1461,false,652924367492485120
Twitter for iPhone,Will be interviewed on @FaceTheNation with @JDickerson tomorrow at 10:30am EST. Enjoy!,10-10-2015 19:11:50,714,1488,false,652924519913529344
Twitter for iPhone,With the fantastic ratings last weekend @meetthepress &amp; @ThisWeekABC I think it’s only fair that I go on @FoxNewsSunday w/ Chris Wallace.,10-10-2015 19:14:21,900,2016,false,652925150942392321
Twitter for iPhone,Via Breitbart - "Riding High in Polls Donald Trump Storms the American South to Overflow Crowds in Georgia"http://t.co/iLcaMZxc82,10-10-2015 19:18:17,1354,2265,false,652926140148006912
Twitter for iPhone,Will be interviewed by @SeanHannity on @foxnews at 10PM tonight. Enjoy!,10-12-2015 21:44:13,1061,2207,false,653687642706583552
